company_name,ticker,country,exchange,currency,source,source_sector,source_industry,research_sector,market_cap,research_status,target_price,target_currency,last_report_date,active,source_status,first_seen,last_seen,review_note
Windsor Machines Limited,WINDMACHIN,India,BSE,INR,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,321564485.805054,UNDEFINED,,INR,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
"Xinjiang Guotong Pipeline Co., Ltd. Class A",002205,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,321462920.6595,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Windsor Machines Limited,WINDMACHIN,India,NSE,INR,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,321188650.47234,UNDEFINED,,INR,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Shenzhen Hekeda Precision Cleaning Equipment Co., Ltd. Class A",002816,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,320942152.11042,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
"Beijing Jiaoda Signal Technology Co., Ltd. Class A",300851,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,319122721.18061996,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,Broad industry; review for shipbuilding/construction-equipment.
Desiccant Technology Corporation,5292,Taiwan,TWSE,TWD,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,317778547.16718906,UNDEFINED,,TWD,,FALSE,PRESENT,2026-08-18,2026-09-25,
"Duksan Hi-Metal Co., Ltd.",077360,South Korea,KRX,KRW,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,316097058.78925204,UNDEFINED,,KRW,,FALSE,REMOVED,2026-08-18,2026-08-18,Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-18; review before deletion. | Removed from source universe on 2026-08-20; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-23; review before deletion. | Removed from source universe on 2026-08-24; review before deletion. | Removed from source universe on 2026-08-25; review before deletion. | Removed from source universe on 2026-08-26; review before deletion. | Removed from source universe on 2026-08-27; review before deletion. | Removed from source universe on 2026-08-30; review before deletion. | Removed from source universe on 2026-09-06; review before deletion.
"VT Industrial Technology Co., Ltd. Class A",300707,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,313386114.2274,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
Giken Ltd.,6289,Japan,TSE,JPY,TRADINGVIEW_SCREENER,Producer Manufacturing,Trucks/Construction/Farm Machinery,MACHINERY,311119571.51632,UNDEFINED,,JPY,,FALSE,REMOVED,2026-08-18,2026-09-24,Broad industry; review for shipbuilding/construction-equipment. | Removed from source universe on 2026-09-25; review before deletion.
"Suzhou Invotech Scroll Technologies Co., Ltd. Class A",301272,China,SZSE,CNY,TRADINGVIEW_SCREENER,Producer Manufacturing,Industrial Machinery,MACHINERY,308394041.87754,UNDEFINED,,CNY,,TRUE,PRESENT,2026-08-18,2026-09-25,
